iter	RMSE
0	4.311361396
1	4.207608747
2	4.112289271
3	4.077485001
4	3.990356007
5	3.956362798
6	3.922894628
7	3.88934096
8	3.802232485
9	3.769704322
10	3.738084603
11	3.706997307
12	3.67655443
13	3.594349989
14	3.513740545
15	3.483772643
16	3.409548629
17	3.380578609
18	3.311351567
19	3.280323278
20	3.252461054
21	3.225086099
22	3.198283849
23	3.17189987
24	3.145722805
25	3.11811794
26	3.093117595
27	3.06847988
28	3.001598928
29	2.938573262
30	2.914439012
31	2.89084499
32	2.867601777
33	2.844420355
34	2.779956761
35	2.757751858
36	2.699090273
37	2.644618607
38	2.623060887
39	2.60187189
40	2.581121415
41	2.558448953
42	2.500545648
43	2.480643197
44	2.461060061
45	2.441664402
46	2.422853519
47	2.370250434
48	2.351472404
49	2.300681476
50	2.280462248
51	2.262807376
52	2.24522739
53	2.225109689
54	2.176146584
55	2.159395831
56	2.142952718
57	2.096127816
58	2.078175549
59	2.062127002
60	2.019882642
61	2.002414112
62	1.962328535
63	1.947372949
64	1.932599257
65	1.891463387
66	1.876785966
67	1.862702445
68	1.846736042
69	1.808290923
70	1.794695056
71	1.757504274
72	1.74424455
73	1.731315346
74	1.718630656
75	1.706152283
76	1.671814067
77	1.636814828
78	1.624746853
79	1.612899945
80	1.601200985
81	1.587689712
82	1.576505878
83	1.563744344
84	1.552947553
85	1.51966607
86	1.509166012
87	1.47898643
88	1.468377881
89	1.455634027
90	1.444358285
91	1.434407324
92	1.424452464
93	1.396920793
94	1.384692867
95	1.354124094
96	1.343036342
97	1.319742462
98	1.30858574
99	1.299775667
100	1.289058043
101	1.280021438
102	1.271812807
103	1.245418628
104	1.220075433
105	1.197268277
106	1.188680218
107	1.179933514
108	1.171883549
109	1.163072557
110	1.153478084
111	1.133398878
112	1.113830635
113	1.106096217
114	1.098744527
115	1.090369673
116	1.083045631
117	1.065090315
118	1.058000003
119	1.051335272
120	1.044684039
121	1.03857473
122	1.032301415
123	1.026110312
124	1.003950805
125	0.9964741576
126	0.9909086452
127	0.9709897426
128	0.9542895237
