iter	Passed	Remaining
0	9	9408
1	14	7413
2	20	6913
3	25	6306
4	29	5908
5	34	5633
6	40	5699
7	44	5545
8	48	5389
9	55	5458
10	59	5343
11	63	5236
12	69	5279
13	74	5224
14	78	5157
15	82	5096
16	88	5131
17	93	5124
18	98	5078
19	104	5141
20	109	5088
21	113	5052
22	121	5148
23	126	5131
24	131	5111
25	137	5159
26	142	5150
27	147	5125
28	152	5110
29	157	5079
30	161	5054
31	167	5071
32	172	5040
33	176	5013
34	181	5005
35	186	4986
36	191	4977
37	196	4972
38	200	4951
39	205	4928
40	209	4904
41	215	4917
42	219	4894
43	224	4874
44	229	4875
45	234	4853
46	238	4833
47	242	4815
48	248	4819
49	252	4803
50	257	4783
51	262	4790
52	267	4775
53	271	4759
54	277	4760
55	281	4749
56	286	4733
57	290	4716
58	296	4721
59	301	4724
60	305	4706
61	310	4697
62	314	4682
63	319	4668
64	323	4652
65	328	4651
66	332	4634
67	337	4619
68	342	4624
69	347	4611
70	351	4598
71	356	4593
72	361	4592
73	365	4578
74	368	4550
75	375	4568
76	380	4558
77	384	4546
78	390	4556
79	396	4555
80	400	4541
81	406	4548
82	410	4536
83	414	4524
84	419	4518
85	424	4512
86	428	4500
87	439	4552
88	449	4599
89	456	4612
90	461	4606
91	466	4600
92	471	4600
93	476	4589
94	480	4578
95	486	4581
96	491	4571
97	495	4560
98	500	4553
99	505	4550
100	511	4549
101	515	4536
102	520	4536
103	526	4533
104	530	4522
105	536	4522
106	540	4511
107	545	4501
108	550	4499
109	554	4490
110	559	4478
111	563	4467
112	569	4467
113	573	4456
114	577	4445
115	583	4446
116	588	4438
117	592	4428
118	597	4422
119	602	4417
120	607	4412
121	611	4403
122	617	4403
123	621	4393
124	626	4383
125	632	4384
126	636	4373
127	640	4365
128	645	4360
129	650	4354
130	654	4344
131	659	4334
132	665	4336
133	669	4327
134	672	4309
135	678	4307
136	682	4298
137	686	4288
138	690	4278
139	696	4280
140	702	4277
141	706	4267
142	712	4269
143	716	4259
144	720	4250
145	725	4244
146	730	4237
147	734	4227
148	738	4219
149	744	4217
150	748	4208
151	752	4199
152	758	4197
153	762	4189
154	767	4181
155	773	4182
156	778	4177
157	782	4168
158	786	4159
159	792	4159
160	796	4151
161	800	4143
162	805	4137
163	810	4131
164	815	4127
165	819	4119
166	825	4117
167	829	4109
168	833	4100
169	839	4098
170	843	4090
171	848	4084
172	852	4076
173	857	4070
174	861	4063
175	866	4055
176	871	4054
177	876	4046
178	880	4038
179	885	4031
180	889	4027
181	894	4020
182	898	4012
183	904	4009
184	910	4012
185	915	4005
186	920	4003
187	925	3995
188	929	3987
189	933	3981
190	938	3975
191	942	3967
192	946	3959
193	952	3957
194	956	3949
195	960	3941
196	966	3939
197	970	3931
198	974	3923
199	978	3915
200	985	3915
201	989	3908
202	993	3901
203	999	3898
204	1004	3893
205	1009	3892
206	1016	3892
207	1020	3884
208	1024	3877
209	1028	3870
210	1034	3868
211	1038	3859
212	1042	3852
213	1048	3849
214	1052	3841
215	1056	3834
216	1060	3827
217	1066	3824
218	1070	3816
219	1074	3811
220	1081	3811
221	1086	3806
222	1092	3806
223	1099	3808
224	1105	3807
225	1110	3803
226	1115	3798
227	1120	3795
228	1125	3788
229	1130	3786
230	1135	3779
231	1139	3772
232	1145	3769
233	1149	3763
234	1153	3756
235	1158	3751
236	1163	3744
237	1168	3741
238	1172	3734
239	1178	3731
240	1182	3725
241	1187	3718
242	1192	3715
243	1197	3710
244	1201	3703
245	1206	3698
246	1211	3693
247	1217	3690
248	1221	3683
249	1227	3681
250	1231	3674
251	1235	3667
252	1241	3666
253	1246	3659
254	1250	3652
255	1255	3647
256	1259	3642
257	1264	3635
258	1268	3628
259	1274	3626
260	1278	3619
261	1282	3612
262	1288	3609
263	1292	3603
264	1296	3595
265	1300	3589
266	1307	3590
267	1312	3584
268	1316	3577
269	1322	3575
270	1327	3571
271	1332	3565
272	1338	3564
273	1342	3557
274	1346	3550
275	1352	3547
276	1356	3541
277	1361	3534
278	1365	3528
279	1371	3525
280	1375	3519
281	1379	3512
282	1384	3508
283	1389	3502
284	1393	3496
285	1405	3509
286	1411	3506
287	1418	3505
288	1424	3504
289	1429	3498
290	1435	3498
291	1440	3493
292	1445	3488
293	1452	3487
294	1457	3482
295	1461	3475
296	1467	3473
297	1471	3466
298	1475	3459
299	1480	3455
300	1485	3449
301	1489	3443
302	1493	3436
303	1499	3433
304	1504	3427
305	1508	3421
306	1513	3417
307	1518	3412
308	1523	3407
309	1528	3403
310	1533	3397
311	1537	3390
312	1541	3384
313	1547	3380
314	1553	3377
315	1557	3371
316	1563	3368
317	1567	3362
318	1572	3356
319	1577	3351
320	1581	3346
321	1586	3339
322	1590	3333
323	1596	3330
324	1600	3324
325	1604	3317
326	1610	3315
327	1615	3309
328	1619	3302
329	1623	3296
330	1629	3292
331	1634	3288
332	1638	3282
333	1644	3279
334	1648	3273
335	1653	3267
336	1659	3264
337	1663	3258
338	1667	3252
339	1673	3248
340	1677	3242
341	1682	3236
342	1686	3230
343	1693	3229
344	1697	3222
345	1701	3216
346	1707	3213
347	1711	3207
348	1715	3200
349	1721	3196
350	1725	3191
351	1731	3187
352	1735	3181
353	1741	3177
354	1745	3171
355	1749	3165
356	1755	3162
357	1759	3156
358	1764	3149
359	1769	3144
360	1773	3139
361	1777	3133
362	1782	3127
363	1787	3123
364	1792	3117
365	1796	3112
366	1802	3108
367	1806	3102
368	1811	3097
369	1815	3091
370	1821	3087
371	1825	3081
372	1829	3075
373	1834	3071
374	1840	3067
375	1845	3062
376	1850	3058
377	1855	3053
378	1859	3047
379	1864	3041
380	1869	3037
381	1873	3031
382	1878	3025
383	1883	3021
384	1887	3015
385	1892	3009
386	1897	3005
387	1902	3000
388	1906	2994
389	1910	2988
390	1916	2985
391	1920	2979
392	1925	2973
393	1930	2969
394	1935	2965
395	1940	2960
396	1947	2957
397	1952	2952
398	1956	2947
399	1963	2944
400	1967	2938
401	1971	2933
402	1976	2927
403	1980	2922
404	1985	2916
405	1989	2910
406	1995	2907
407	1999	2901
408	2004	2895
409	2009	2892
410	2014	2886
411	2018	2880
412	2022	2874
413	2028	2870
414	2033	2866
415	2038	2861
416	2043	2857
417	2048	2851
418	2052	2846
419	2059	2843
420	2064	2839
421	2069	2834
422	2076	2832
423	2080	2826
424	2086	2822
425	2091	2818
426	2095	2812
427	2100	2807
428	2106	2803
429	2110	2797
430	2115	2792
431	2119	2786
432	2125	2783
433	2131	2779
434	2135	2773
435	2141	2769
436	2145	2764
437	2149	2758
438	2155	2754
439	2160	2749
440	2164	2744
441	2170	2740
442	2174	2734
443	2179	2728
444	2183	2722
445	2189	2720
446	2194	2714
447	2198	2709
448	2204	2705
449	2208	2699
450	2213	2694
451	2219	2690
452	2223	2684
453	2227	2679
454	2231	2673
455	2237	2669
456	2243	2665
457	2247	2659
458	2253	2655
459	2257	2650
460	2261	2644
461	2268	2641
462	2272	2635
463	2276	2629
464	2282	2626
465	2287	2620
466	2291	2614
467	2296	2610
468	2301	2606
469	2306	2600
470	2310	2595
471	2316	2591
472	2321	2586
473	2325	2581
474	2331	2576
475	2336	2571
476	2341	2566
477	2346	2563
478	2352	2558
479	2356	2553
480	2361	2548
481	2366	2543
482	2372	2539
483	2383	2541
484	2389	2537
485	2395	2533
486	2400	2528
487	2405	2523
488	2410	2518
489	2415	2513
490	2419	2508
491	2423	2502
492	2429	2498
493	2434	2493
494	2439	2488
495	2444	2484
496	2449	2478
497	2453	2473
498	2457	2467
499	2463	2463
500	2467	2457
501	2471	2451
502	2479	2449
503	2484	2444
504	2488	2439
505	2494	2434
506	2498	2429
507	2503	2424
508	2509	2420
509	2513	2414
510	2517	2409
511	2522	2404
512	2527	2399
513	2533	2395
514	2537	2389
515	2543	2385
516	2547	2379
517	2551	2374
518	2557	2370
519	2561	2364
520	2565	2359
521	2570	2353
522	2575	2348
523	2579	2343
524	2583	2337
525	2589	2333
526	2593	2327
527	2597	2322
528	2602	2317
529	2607	2312
530	2611	2306
531	2615	2301
532	2621	2297
533	2625	2291
534	2630	2286
535	2635	2281
536	2640	2276
537	2645	2271
538	2649	2266
539	2655	2261
540	2659	2256
541	2664	2251
542	2669	2246
543	2673	2241
544	2678	2235
545	2682	2230
546	2687	2225
547	2691	2220
548	2696	2215
549	2701	2210
550	2706	2205
551	2710	2200
552	2716	2195
553	2722	2191
554	2726	2186
555	2731	2181
556	2736	2176
557	2741	2171
558	2746	2166
559	2751	2161
560	2755	2156
561	2759	2151
562	2766	2146
563	2770	2141
564	2774	2136
565	2780	2131
566	2784	2126
567	2788	2121
568	2793	2115
569	2798	2111
570	2803	2105
571	2807	2100
572	2813	2096
573	2817	2091
574	2821	2085
575	2826	2080
576	2831	2075
577	2836	2071
578	2841	2065
579	2847	2061
580	2851	2056
581	2855	2050
582	2862	2047
583	2866	2042
584	2871	2036
585	2876	2032
586	2881	2027
587	2885	2021
588	2889	2016
589	2895	2012
590	2899	2006
591	2904	2001
592	2910	1997
593	2914	1992
594	2918	1986
595	2924	1982
596	2928	1976
597	2932	1971
598	2937	1966
599	2942	1961
600	2948	1957
601	2952	1952
602	2958	1947
603	2962	1942
604	2967	1937
605	2972	1932
606	2977	1927
607	2981	1922
608	2985	1917
609	2991	1912
610	2996	1907
611	3000	1902
612	3006	1897
613	3011	1892
614	3015	1887
615	3020	1883
616	3025	1877
617	3029	1872
618	3033	1867
619	3039	1862
620	3044	1858
621	3049	1852
622	3054	1848
623	3059	1843
624	3063	1838
625	3068	1833
626	3073	1828
627	3077	1823
628	3081	1817
629	3087	1813
630	3092	1808
631	3096	1802
632	3102	1798
633	3107	1793
634	3111	1788
635	3116	1783
636	3120	1778
637	3125	1773
638	3129	1768
639	3135	1763
640	3139	1758
641	3144	1753
642	3149	1748
643	3155	1744
644	3159	1739
645	3165	1734
646	3169	1729
647	3174	1724
648	3178	1718
649	3183	1714
650	3187	1709
651	3192	1703
652	3198	1699
653	3202	1694
654	3206	1688
655	3211	1683
656	3216	1679
657	3220	1674
658	3225	1668
659	3231	1664
660	3235	1659
661	3239	1654
662	3245	1649
663	3249	1644
664	3255	1639
665	3259	1634
666	3264	1629
667	3269	1624
668	3273	1619
669	3279	1615
670	3283	1610
671	3288	1605
672	3294	1600
673	3298	1595
674	3303	1590
675	3307	1585
676	3312	1580
677	3316	1575
678	3321	1570
679	3327	1565
680	3333	1561
681	3343	1559
682	3351	1555
683	3357	1551
684	3361	1546
685	3366	1540
686	3370	1535
687	3376	1531
688	3380	1525
689	3384	1520
690	3390	1516
691	3395	1511
692	3399	1506
693	3403	1500
694	3409	1496
695	3413	1490
696	3417	1485
697	3423	1481
698	3427	1476
699	3431	1470
700	3436	1465
701	3442	1461
702	3446	1455
703	3450	1450
704	3456	1446
705	3461	1441
706	3466	1436
707	3471	1431
708	3476	1426
709	3480	1421
710	3487	1417
711	3491	1412
712	3496	1407
713	3500	1402
714	3505	1397
715	3509	1392
716	3514	1387
717	3519	1382
718	3523	1377
719	3528	1372
720	3533	1367
721	3537	1362
722	3541	1356
723	3546	1351
724	3551	1347
725	3557	1342
726	3561	1337
727	3567	1332
728	3571	1327
729	3576	1322
730	3581	1317
731	3586	1312
732	3590	1307
733	3594	1302
734	3600	1298
735	3604	1292
736	3609	1287
737	3614	1283
738	3618	1278
739	3623	1273
740	3627	1268
741	3633	1263
